en,347196
de,209435
pt,126298
fr,114853
it,94026
es,89081
ru,76917
pl,56121
ja,54291
uk,43761
zh,41127
vi,41104
ca,34848
hu,32745
sv,29550
mk,28669
fi,28128
zh-min-nan,27029
tr,26692
no,24497
nl,23197
ro,19987
fa,18588
ar,16796
cs,16132
id,16089
th,15068
hy,12805
ko,11872
hr,11835
da,11596
el,11506
sr,11380
bg,10992
ast,9890
sh,9854
simple,8801
ta,7635
ms,7577
gl,6598
bs,6142
bn,6025
lv,6011
sl,5257
ml,5189
ka,5122
sco,4973
az,4883
eo,4613
bar,4494
be,3886
af,3750
kn,3459
lt,3353
et,3261
eu,3045
hi,2943
te,2761
sk,2612
be-tarask,2296
kk,2179
als,2098
or,2094
cy,1820
sq,1808
nn,1797
gd,1789
km,1731
pa,1720
nds,1686
tt,1538
ia,1428
mn,1414
jv,1405
ne,1222
fo,1189
ckb,1185
tl,1145
la,1139
br,1139
ce,1068
my,1065
as,1008
si,1000
gu,941
ur,925
ilo,861
is,849
yo,766
azb,690
uz,689
zh-yue,604
pfl,603
ba,591
ky,588
mr,584
su,582
rm,556
lb,552
bxr,502
war,486
mt,483
arz,473
frr,470
xmf,465
ga,441
mai,419
fy,411
an,408
bh,405
pms,404
new,400
oc,390
xal,345
mg,336
lo,336
vep,316
mzn,313
dv,309
sah,308
ku,278
nds-nl,275
pam,266
cv,255
ny,251
stq,238
tpi,234
gn,231
hsb,231
io,226
mwl,218
pnb,214
lad,211
sw,205
roa-tara,204
gv,190
lmo,168
so,166
tg,158
lez,157
scn,154
ace,148
vo,147
av,137
pdc,136
map-bms,133
krc,129
dsb,113
li,109
sa,107
vec,93
se,91
qu,91
nap,89
bcl,85
wuu,81
hif,79
yi,76
szl,74
diq,72
kbd,71
bpy,70
fur,66
rue,65
min,64
lrc,63
sd,60
ext,59
ps,56
vls,56
ay,53
gom,51
ug,51
os,48
kab,45
pap,41
xh,40
ltg,38
pcd,36
zu,36
cbk-zam,35
ang,34
pih,30
ht,27
gan,26
nah,25
eml,25
sm,23
myv,19
bjn,18
ceb,17
ig,16
bat-smg,16
zh-classical,16
tk,15
cu,15
glk,14
srn,14
kw,12
nov,12
tet,10
kaa,10
mhr,10
zea,9
udm,8
sc,8
roa-rup,8
tyv,8
koi,7
pag,6
pnt,6
mrj,6
chr,6
am,5
ln,5
bi,4
frp,4
hak,4
haw,4
wo,4
csb,4
mi,4
rmy,4
nso,3
to,2
jbo,2
ty,2
tn,2
ab,2
fiu-vro,2
crh,2
ks,2
kv,2
ak,2
ik,2
ve,2
nv,2
ss,2
lg,2
sg,2
ksh,1
na,1
rw,1
